1,2833662b0b000002
2,280ad42a0b00003a
3,2837f32b0b0000bb
4,2854f92b0b00009c
5,28a22e2c0b0000d5
6,28d0302c0b0000fd
7,2886d52a0b000060
8,280feb2b0b0000b5
9,ffffffffffffffff
10,ffffffffffffffff
11,2846832b0b000079
12,284ba12b0b000048
13,28c5f82a0b000058
14,28c65d2b0b00006f
15,287c012b0b000013
16,284b4e2b0b0000fd
17,2855f12b0b000095
9,ffffffffffffffff
10,ffffffffffffffff
10,ffffffffffffffff
21,289a182b0b000007
22,2824fc2a0b000059
23,2800642b0b000035
24,283ec92a0b00009b
25,28102e2c0b0000bc
26,2817d32a0b00007a
27,28c4012b0b0000b5
28,28d4142b0b000040
29,28f54e2b0b0000e9
30,283ff82b0b00006a
31,28e4f32a0b0000a9
32,2858e42a0b0000fe
33,28aae12b0b0000bf
34,28f8ea2b0b00008f
35,28e4252c0b000062
36,2880142b0b0000b2
37,2812ff2b0b0000c7
38,28772c2c0b000079
39,2846e52a0b00007b
40,2837ea2a0b0000bb
